Model,Accuracy,F1 Score,Precision,Recall,ROC AUC,G-Mean,Training Time (s)
RFC,0.6667,0.0000,0.0000,0.0000,0.7222,0.0000,12.24
XGBOOST,0.3333,0.1667,0.1111,0.3333,0.4861,0.3333,10.46
LR,0.6667,0.2857,0.2500,0.3333,0.3611,0.2000,4.76
