Model,Accuracy,Precision,Recall,F1_Score,AUC_ROC,Training_Time_sec
RFC,0.9633,0.9653086842405569,0.9926073691621685,0.978767717674284,0.9876006667769703,7.70268440246582
XGB,0.9572,0.9633615754522555,0.9873269185637175,0.9751970329160872,0.9836581526314604,0.6578452587127686
LR,0.9155,0.9254128338690014,0.9798169443792537,0.9518381305215161,0.8894794782524192,10.508061170578003
RBF,0.8522,0.8522,1.0,0.9202030018356548,0.8923962305315637,9.125726222991943
