Model,Accuracy,ROC_AUC,F1_Score,Precision,Recall,GMean,Training_Time_Seconds
rfc,0.6667,0.7222,0.0,0.0,0.0,0.0,12.24
xgboost,0.3333,0.4861,0.1667,0.1111,0.3333,0.3333,10.46
lr,0.6667,0.3611,0.2857,0.25,0.3333,0.5,4.76
mlp,0.7333,0.5556,0.3333,0.3333,0.3333,0.527,6.18
svm,0.8,0.5,0.0,0.0,0.0,0.0,0.41
