Model,Accuracy,ROC_AUC,F1_Score,Precision,Recall,GMean,Training_Time_Seconds
rfc,0.6667,0.7222,0.0,0.0,0.0,0.0,0.43
xgboost,0.6,0.3333,0.25,0.2,0.3333,0.4714,10.5
lr,0.6667,0.3611,0.2857,0.25,0.3333,0.5,1.04
mlp,0.3333,0.2083,0.0,0.0,0.0,0.0,7.55
svm,0.8,0.5,0.0,0.0,0.0,0.0,0.37
