Model,Accuracy,ROC_AUC,F1_Score,Precision,Recall,GMean,Training_Time_Seconds
rfc,0.6667,0.7222,0.0,0.0,0.0,0.0,10.56
xgboost,0.6667,0.5972,0.4444,0.3333,0.6667,0.6667,9.73
lr,0.6667,0.3611,0.2857,0.25,0.3333,0.5,6.21
mlp,0.6,0.4444,0.25,0.2,0.3333,0.4714,8.52
svm,0.8,0.5,0.0,0.0,0.0,0.0,0.96
