Model,Voxel,Importance
RBF,X2,0.07999446251801928
RBF,X11,0.0642937149025999
RBF,X12,0.047964532210122444
RBF,X10,0.0472181135310224
RBF,X3,0.03890227823177561
RBF,X8,0.025099717502037044
RBF,X13,0.013120361207906347
RBF,X1,0.010457614066270212
RBF,X9,0.00957586594371756
RBF,X6,0.007845051303994023
RBF,X14,0.007549512984095841
RBF,X4,0.007530582054263555
RBF,X7,0.007223291511540991
RBF,X5,0.0003687162657291308
