Model,Accuracy,ROC_AUC,F1_Score,Precision,Recall,GMean,Training_Time_Seconds
rfc,0.6667,0.7222,0.0,0.0,0.0,0.0,12.12
xgboost,0.6,0.4722,0.25,0.2,0.3333,0.4714,10.7
lr,0.6667,0.3611,0.2857,0.25,0.3333,0.5,4.69
mlp,0.6667,0.4583,0.2857,0.25,0.3333,0.5,5.72
svm,0.8,0.5,0.0,0.0,0.0,0.0,0.41
