Model,Accuracy,ROC_AUC,F1_Score,Precision,Recall,GMean,Training_Time_Seconds
rfc,0.9726,0.9989,0.9375,0.9375,0.9375,0.9597,5.86
xgboost,0.9589,0.9945,0.9091,0.8824,0.9375,0.9511,78.45
lr,0.9452,0.9408,0.875,0.875,0.875,0.9189,2.95
mlp,0.9863,1.0,0.9677,1.0,0.9375,0.9682,71.23
svm,0.7808,0.5,0.0,0.0,0.0,0.0,1.46
