Model,Accuracy,ROC_AUC,F1_Score,Precision,Recall,GMean,Training_Time_Seconds
rfc,0.9726,0.9989,0.9375,0.9375,0.9375,0.9597,5.91
xgboost,0.9726,1.0,0.9333,1.0,0.875,0.9354,39.62
lr,0.9315,0.9452,0.8485,0.8235,0.875,0.9105,3.35
mlp,0.9726,1.0,0.9333,1.0,0.875,0.9354,81.43
svm,0.7808,0.5,0.0,0.0,0.0,0.0,1.4
