Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Training Time (s)
RBF,0.9429,0.9426,0.9426,0.9425,0.9856,241.19
XGB,0.9022,0.9025,0.9022,0.9019,0.9653,0.92
RFC,0.8555,0.8598,0.8555,0.8539,0.9432,1.25
LR,0.6348,0.6329,0.6348,0.6262,0.6717,4.36
