Model,Accuracy,ROC_AUC,F1_Score,Precision,Recall,GMean,Training_Time_Seconds
rfc,0.6667,0.7222,0.0,0.0,0.0,0.0,2.74
xgboost,0.2,0.3611,0.1429,0.0909,0.3333,0.2357,6.08
lr,0.6667,0.3611,0.2857,0.25,0.3333,0.5,2.91
mlp,0.6667,0.4861,0.2857,0.25,0.3333,0.5,3.29
svm,0.8,0.5,0.0,0.0,0.0,0.0,0.28
